Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
71654,France,"No longer a second wine of Ducru-Beaucaillou, but a wine from its own separate vineyard, Croix de Beaucaillou is impressive. Firm while also rich, it is firmly tannic, superripe and packed with great dark plum and berry fruits. Fruit and structure well balanced together.",,93,,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Croix de Beaucaillou 2010  Saint-Julien,Bordeaux-style Red Blend,Croix de Beaucaillou
36690,France,"Here's true “old vine” wine—from vines 75 years old on average—and it is ripe and toasty, with flavors of almonds, spice and baked bread. Fresh, crisp apples and green plums are lifted by a citrus aftertaste. Drink this attractive wine now.",Vielles Vignes,91,45.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Pierre Merguey 2014 Vielles Vignes  (Pouilly-Fuissé),Chardonnay,Pierre Merguey
20094,France,"Soft, full and very rounded, this has yellow fruit flavors that are ripe and open, with its acidity emerging slowly. The finish is more focused and fresh.",,87,30.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Château Philippe-le-Hardi 2010  Mercurey,Chardonnay,Château Philippe-le-Hardi
39231,France,"From one of the estates owned by the Pagès family in the northern Médoc, the wine is spicy and rich with tannins and blackberry fruit. As a contrast, it is shot through with attractive acidity that is a character of the year. The wine will be ready to drink from 2019.",,89,20.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château la Roque de By 2014  Médoc,Bordeaux-style Red Blend,Château la Roque de By
43080,France,"So soft, the wine is gently fruity, a hint of its chalk soil through a mineral edge. Fresh and tasting of lime and apple fruits, it is ready to drink now.",,85,25.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine L. Chatelain 2010  Chablis,Chardonnay,Domaine L. Chatelain
66870,France,"This ripe, balanced and mature wine is ready to drink. It has rich flavors of white fruits as well as more tropical hints. A pure line of acidity cuts through the riper fruit flavors and leaves a crisp texture with orange-zest flavor at the end.",Le Nombre d'Or Brut,92,60.0,Champagne,Champagne,,Roger Voss,@vossroger,Aubry NV Le Nombre d'Or Brut  (Champagne),Champagne Blend,Aubry
82309,France,"Rich and fruity, this is full of red berry and black plum fruits, sustained by dense, powerful tannins. The wine manages to balance freshness with a solid, dry core.",Cèdre Heritage,87,17.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château du Cèdre 2010 Cèdre Heritage Malbec (Cahors),Malbec,Château du Cèdre
16677,France,"Aromas of bananas follow through to the palate of this wine, spoiling the structured black plums and tannins. The wine is fresh and juicy, with some dry structure at the background. Drink from 2016.",Domaine des Rosiers,85,24.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Georges Duboeuf 2014 Domaine des Rosiers  (Moulin-à-Vent),Gamay,Georges Duboeuf
91696,France,"Meat and bacon aromas introduce a wine that is taut, structured and high on the acidity. It has a lean, slightly dirty taste, which is not attractive.",,81,16.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Tire Pé 2009  Bordeaux,Bordeaux-style Red Blend,Château Tire Pé
53085,France,"This is significantly young, tight and firm. Coming from one of the best sites in Fleurie, it has structure and tannins that dominate the rich red cherry fruits. Drink from 2016.",La Madonne,89,21.0,Beaujolais,Fleurie,,Roger Voss,@vossroger,Domaine Chaintreuil 2013 La Madonne  (Fleurie),Gamay,Domaine Chaintreuil
20871,France,"Light and fruity, this soft Champagne has red berry fruits, noticeable sweetness and fresh acidity to match. It's attractive for those who like their Champagne soft and easygoing.",Diamant Brut Rosé,86,72.0,Champagne,Champagne,,Roger Voss,@vossroger,Vranken NV Diamant Brut Rosé  (Champagne),Champagne Blend,Vranken
30803,France,Drouhin has significant holdings in a number of top Chambolle vineyards. This wine is a blend from other Premier Crus in the same village. It has the typical generous character along with a more serious structured backbone that gives a dry and solid density that's worth aging. Drink from 2017.,Premier Cru,92,82.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,Joseph Drouhin 2012 Premier Cru  (Chambolle-Musigny),Pinot Noir,Joseph Drouhin
76973,France,"This structured, concentrated wine is from an estate in the north of Saint-Estèphe. A dominance of Cabernet Sauvignon in the blend lends it firm, solid tannins as well as a juicy black-currant note. It's a wine for long-term aging; don't drink before 7–8 years.",,91,41.0,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Beau-Site 2010  Saint-Estèphe,Bordeaux-style Red Blend,Château Beau-Site
119476,France,"Very toasty aromas materialize into a wine that has way too much wood aging. There is no sign of fruit here, only wood plank flavors.",,83,,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Beaulieu Comtes de Tastes 2011  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Beaulieu Comtes de Tastes
21602,France,"This ripe wine has jammy red fruit flavors. The fruitiness is given structure by the stalky tannins and the dry, wood-aging flavors. Black cherries and juicy black currants show strongly. It needs to age, so drink from 2016.",Verité du Terroir,91,20.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château la Gordonne 2010 Verité du Terroir Red (Côtes de Provence),Red Blend,Château la Gordonne
26156,France,"A rich hint of apple crumble precedes tart notes of lemon freshness. The palate fizzes with frothy bubbles and gives the impression of lightness and ease. A very clean-cut, sprightly and refreshing finish almost hides the more serious autolytic backdrop of this elegant, fine-fruited Crémant.",Blanc de Blancs Brut,89,,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Boeckel 2014 Blanc de Blancs Brut Auxerrois (Alsace),Auxerrois,Boeckel
46278,France,"This wine is fruity and crisp, with attractive balanced acidity. It's all about raspberry and red currants. A refreshing character gives citrus tang to the aftertaste.",Le Rosé de Mouton Cadet,86,15.0,Bordeaux,Bordeaux Rosé,,Roger Voss,@vossroger,Baron Philippe de Rothschild 2014 Le Rosé de Mouton Cadet Rosé (Bordeaux Rosé),Rosé,Baron Philippe de Rothschild
40480,France,"Typical of early-maturing, Merlot-based wines from this vintage, this is rich, swirling with black-berry fruits and generous tannins. The fresh, almost crisp aftertaste is already attractive. Drink from 2019.",,91,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Dassault 2013  Saint-Émilion,Bordeaux-style Red Blend,Château Dassault
68370,France,"This second wine of Lafite Rothschild is packed with acidity, nervy black currant fruits and extreme freshness. It's a light wine, all fruit and only hints of tannin and structure.",Les Carruades de Lafite,90,,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Lafite Rothschild 2013 Les Carruades de Lafite  (Pauillac),Bordeaux-style Red Blend,Château Lafite Rothschild
15877,France,"Now mature, this wine is full of secondary, dried fruit and spice flavors along with tannins that are now fully evolved. It is rich, definitely ready to drink with its acidity and dry aftertaste. The former owners of Château Montrose in Bordeaux, Anne-Marie et Jean-Louis Charmolüe, purchased this property in 2006. All Les Baux vineyards are biodynamic.",Le Coeur,89,,Provence,Les Baux de Provence,,Roger Voss,@vossroger,Château Romanin 2009 Le Coeur Red (Les Baux de Provence),Provence red blend,Château Romanin
21192,France,"92-94 Spice and mint aromas with blackberry fruit, new wood and a polished character. The acidity is delicious, refreshing.",Barrel sample,93,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Faugères 2010 Barrel sample  (Saint-Émilion),Bordeaux-style Red Blend,Château Faugères
45690,France,"Clos Windsbuhl in Hunawihr is the northernmost of Zind-Humbrecht's collection of vineyards. In 2012, it has produced an impressive wine that has all the right spice of Pinot Gris along with acidity and a fresh edge. That gives this rich wine a great lift, with a waft of pear to go with the yellow-fruit flavors. Drink from 2016.",Clos Windsbuhl Hunawihr,92,80.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Zind-Humbrecht 2012 Clos Windsbuhl Hunawihr Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht
27380,France,"A simple, rounded wine, soft and fruity. Pear and apricot flavors dominate along with a crisper, grapefruit edge. The wine is aging quickly, and will be ready in a few months.",,86,21.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Domaine du Chalet Pouilly 2011  Saint-Véran,Chardonnay,Domaine du Chalet Pouilly
97802,France,"Soft, lilting wine that is gentle, ripe and ready to drink. The fruits have some sweetness, the tannins are light, and the acidity is fresh and never too intrusive.",,87,35.0,Burgundy,Monthélie,,Roger Voss,@vossroger,Bouchard Père & Fils 2007  Monthélie,Pinot Noir,Bouchard Père & Fils
20372,France,"While still young and fruity, this has the potential to be a complex, long-lived wine. It boasts stone fruit and white flower aromas, a tight structure and a hint of sweetness. Drink from 2018.",Furstentum Grand Cru,93,,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Albert Mann 2011 Furstentum Grand Cru Riesling (Alsace),Riesling,Domaine Albert Mann
41229,France,"Although this is not the newest release from Hecht & Bannier, it is drinking nicely now, with mature notes of kirsch and black currant backed by accents of sweet spice, crushed violets and soft leather. Though aged, the mouth is still full and big with gripping tannins and a firm structure. The finish is long, evoking flavors of cocoa-dusted blackberries and peppery spice. Drink now–2014.",,91,39.0,Languedoc-Roussillon,Faugères,,Lauren Buzzeo,@laurbuzz,Hecht & Bannier 2007 Red (Faugères),Rhône-style Red Blend,Hecht & Bannier
36814,France,"Citric tartness dominates nose and palate, making for a spritzy, lime-flavored fizz with frothy bubbles. The dry palate is light yet fruity, making this fun, easy-drinking and refreshing.",,89,30.0,Alsace,Crémant d'Alsace,,Anne Krebiehl MW,@AnneInVino,Gustave Lorentz NV Sparkling (Crémant d'Alsace),Sparkling Blend,Gustave Lorentz
69142,France,"Just mature, this smooth, velvet-textured wine has juicy black fruits with a smoky character that adds interest to the structure and acidity that give the wine shape. Rich while fresh at the end, it is ready to drink.",La Vieille Eglise Réserve,88,15.0,Southwest France,Côtes du Marmandais,,Roger Voss,@vossroger,Cave du Marmandais 2012 La Vieille Eglise Réserve Red (Côtes du Marmandais),Red Blend,Cave du Marmandais
2977,France,"This vineyard is at one of the highest Castillon points. Big in tannins and also fruit, this is a dense wine. It has a dry core as well as rich blackberry fruits. Concentrated and full, the wine will be seriously worth drinking from 2019.",,91,25.0,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château Montlandrie 2014  Castillon Côtes de Bordeaux,Merlot,Château Montlandrie
44984,France,"This old-vine wine shows signs of rotten fruit, certainly aromatically. On the palate, it is tight with dark tannins and a hard, extracted edge. It is hard to tell if it could soften. This property liess in both the Castillon and Franc appellations. Wine is vinified plot by plot.",Cuvée Prevenche,82,15.0,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château Terrasson 2013 Cuvée Prevenche  (Castillon Côtes de Bordeaux),Bordeaux-style Red Blend,Château Terrasson
14123,France,"A mineral texture gives this ripe wine an edge while its full, red berry fruit offers some solid tannins and concentration. It's smoky and full-bodied and will be ready to drink from 2019.",,92,35.0,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château Joanin Bécot 2015  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château Joanin Bécot
126803,France,"This sweet wine balances acidity with honeyed fruit. There is a touch of botrytis to go with the orange marmalade and lemon peel flavors, while the citrus-like acids cut across the palate. This is fine to drink now, yet it will also age for many years.",Cuvée Jean,90,19.0,Southwest France,Jurançon,,Roger Voss,@vossroger,Château Jolys 2010 Cuvée Jean  (Jurançon),Petit Manseng,Château Jolys
55079,France,"This juicy, fruity wine has red berry fruit and gentle tannins. Although ripe, it's not rich but attractive and likely to age quickly. Drink from 2019.",Alt. 120 Metres,87,25.0,Bordeaux,Côtes de Bordeaux,,Roger Voss,@vossroger,Château Pilet 2015 Alt. 120 Metres  (Côtes de Bordeaux),Bordeaux-style Red Blend,Château Pilet
61829,France,"Orange-pink color on this soft, ripe rosé. The balance is better than in past years, with acidity cutting the red fruits. Light-bodied with a good texture.",Demoiselle Rosé Brut,89,50.0,Champagne,Champagne,,Roger Voss,@vossroger,Vranken NV Demoiselle Rosé Brut  (Champagne),Champagne Blend,Vranken
81004,France,"Heavy wood aromas are mitigated on the palate by the ripe fruit, making for a rich wine with black plum flavors as well as a core of tannins. It's going to develop well and quickly, so drink from 2016.",,85,30.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Carcanieux 2012  Médoc,Bordeaux-style Red Blend,Château Carcanieux
114215,France,"This is the best Delamotte vintage since 1996, a ripe and rich wine that brings out the chalky soil character with a strong mineral content. It has weight along with a relatively high dosage that gives softness. It is balanced, fruity and ready to drink.",Blanc de Blancs Brut,92,112.0,Champagne,Champagne,,Roger Voss,@vossroger,Delamotte 2004 Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Delamotte
89876,France,"This is a concentrated wine, full with dry tannins and perfumed red fruits. Hints of the wood aging give the wine toast and smokiness. The fresh fruits form a contrast offering a future of fragrance and stylishness. It needs to age, so wait until 2019.",Montée Rouge Premier Cru,93,50.0,Burgundy,Beaune,,Roger Voss,@vossroger,Château de Santenay 2012 Montée Rouge Premier Cru  (Beaune),Pinot Noir,Château de Santenay
116031,France,Some funk on the nose soon blows off to reveal generously ripe fruit of yellow pear. The palate benefits from a touch of flavor-boosting residual sweetness but the finish is dry. This is full fruited and balanced. Drink while flavors are at their peak.,,88,18.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Frédéric Mallo 2015 Pinot Gris (Alsace),Pinot Gris,Frédéric Mallo
51692,France,"Crisp and fruity, this is a wine that hides nothing. It is all upfront, fresh fruit backed with lively acidity. It's a wine that sings brightly and effortlessly.",,86,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Lauduc 2012  Bordeaux Blanc,Bordeaux-style White Blend,Château Lauduc
110142,France,"This shows the depth of structure that can be found in a villages-level wine, even when it's a Nouveau. It has weight and spicy fruit, with upfront, juicy cherry and banana flavors.",Château du Souzy Nouveau,86,,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Signé Vigneron 2012 Château du Souzy Nouveau  (Beaujolais-Villages),Gamay,Signé Vigneron
78030,France,"This Chardonnay is a world-class wine available at a fraction of the cost of other excellent French examples. It boasts soft wood accents to the ripe yellow apple, pear and spiced orange tones, with zippy acidity and a mineral streak that lend freshness to the medium-weight palate. It's a layered, complex wine that will evolve well through 2022.",Odyssée,90,18.0,Languedoc-Roussillon,Limoux,,Lauren Buzzeo,@laurbuzz,Château Rives-Blanques 2015 Odyssée Chardonnay (Limoux),Chardonnay,Château Rives-Blanques
92047,France,"This blend of Syrah and Grenache has minty, wet-plaster aromas, but also some pure Grenache notes. The palate runs tart, with cranberry and cherry. And the finish is tight and bitter, with more acids than tannin. A viable bistro wine but go no further.",Jaja,82,9.0,Languedoc-Roussillon,Vin de Pays d'Oc,,Michael Schachner,@wineschach,Château de Jau 2002 Jaja Red (Vin de Pays d'Oc),Red Blend,Château de Jau
47353,France,"The label and the name of this wine just exude summer sun. It is tight, packed with acidity as well as bright red fruits. A citrus streak shoots through this light fruity wine. Drink now.",Note Bleue,85,14.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Les Maîtres Vignerons de la Presqu'île de Saint-Tropez 2016 Note Bleue Rosé (Côtes de Provence),Rosé,Les Maîtres Vignerons de la Presqu'île de Saint-Tropez
124942,France,"Hints of pear perfume the nose on this wine, while the defined palate is bright with lemony freshness. Bundled concentration at the lean, taut core will round out with more bottle age. Drink 2017–2025.",Grand Cru Pfingstberg Paradis,89,36.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine François Schmitt 2014 Grand Cru Pfingstberg Paradis Riesling (Alsace),Riesling,Domaine François Schmitt
78416,France,"A charged Burgundy, packed with dense tannins and powerful ripe black berry fruits. There's a delicious tension here between the fruits and the tannin, pushing the acidity, the red plums and strawberries forward, but keeping them in check. At this stage, it needs decanting; otherwise keep for 2–3 years.",,90,48.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Joseph Drouhin 2005  Gevrey-Chambertin,Pinot Noir,Joseph Drouhin
125049,France,"Crisp, very light and fruity, this is an attractive, ready-to-drink wine. A touch of acidity at the end gives freshness.",,86,30.0,Burgundy,Mâcon-Milly Lamartine,,Roger Voss,@vossroger,Les Héritiers du Comte Lafon 2012  Mâcon-Milly Lamartine,Chardonnay,Les Héritiers du Comte Lafon
77529,France,This wine comes from one of Côtes de Provence historic cru classé estates. It is a ripe and smooth wine with crisp acidity and a fine bite of spice. The wine is packed with red fruits and finished with refreshing acidity.,Château de la Clapière,88,20.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Fabre en Provence 2016 Château de la Clapière Rosé (Côtes de Provence),Rosé,Fabre en Provence
52545,France,"This is a smooth wine whose tannins have been already integrated into the blackberry fruits. It is ripe, still young of course, and with a stalky texture in the background. With acidity and fruitiness, the wine needs to age. Drink from late 2017.",Cuvée Prestige,87,11.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château la Barotte 2015 Cuvée Prestige  (Bordeaux),Bordeaux-style Red Blend,Château la Barotte
32838,France,"This is a ripe, dry style of rosé. It has a dense texture that is rich with strawberry fruits as well as good acidity and a balanced tangy texture of peeled oranges. The wine is fresh, full of fruit and ready to drink.",Brut Rosé de Saignée,87,60.0,Champagne,Champagne,,Roger Voss,@vossroger,Collet NV Brut Rosé de Saignée  (Champagne),Champagne Blend,Collet
113181,France,"A light-colored, delicate wine that is smooth and soft. It has a good balance of red-cherry flavors, with a little bitterness, layered over some gentle tannins. Not for aging, but attractively juicy now.",,88,,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Maison Champy 2008  Savigny-lès-Beaune,Pinot Noir,Maison Champy
100542,France,"Opulent and ripe, but at the same time it shows red fruits, fresh acids and a structured core. It has a wonderful, generous finish that showcases the rich fruits and warm tannins.",Clos des Mouches Premier Cru,92,112.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2009 Clos des Mouches Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils
54120,France,"Made exclusively from Pinot Noir, this is a rich and highly textured wine. Red fruit aromas yield a ripe impression on the palate, while at the same time, it is dry and crisp in tangy acidity, with a zesty lemon flourish. This food-friendly wine is ready to drink.",Grand Cru Brut Blanc de Noirs,93,70.0,Champagne,Champagne,,Roger Voss,@vossroger,Besserat de Bellefon NV Grand Cru Brut Blanc de Noirs Pinot Noir (Champagne),Pinot Noir,Besserat de Bellefon
33608,France,"This rich, wood-aged wine shows a fine balance between rich black-fruit and new toast flavors. It has weight and power, without being over the top. For medium-term aging.",,91,,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château la Cabanne 2009  Pomerol,Bordeaux-style Red Blend,Château la Cabanne
84982,France,"This full-bodied wine is packed with citrus and tight, apple-driven acidity, as well as a rich touch of apricot. This fruitiness is balanced by a deliciously refreshing character that creates texture and a steely, minerally feel.",Expression Brut,88,50.0,Champagne,Champagne,,Roger Voss,@vossroger,René Geoffroy NV Expression Brut  (Champagne),Champagne Blend,René Geoffroy
88422,France,"This wine is fresh, crisp and still young. Crisp acidity dominates the strongly citrus character and gives a tight aftertaste of lime and pink grapefruit. This 100% Sauvignon Blanc was aged on the lees for six months to enhance aroma. Wait to drink until early 2016.",La Grande Cuvée,87,12.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Dourthe 2014 La Grande Cuvée  (Bordeaux Blanc),Sauvignon Blanc,Dourthe
56389,France,"A wine with some weight, showing simple fruit and acidity, the texture open and with a high dosage. It is easy, soft and balanced.",Grande Réserve Brut,86,60.0,Champagne,Champagne,,Roger Voss,@vossroger,J. de Telmont NV Grande Réserve Brut  (Champagne),Champagne Blend,J. de Telmont
74106,France,"A light, bright, herbaceous wine, this is the epitome of easy-drinking Sauvignon Blanc. Crisp apple and grapefruit flavors dominate the lemon zest texture. Drink now. Screwcap.",Petit Bourgeois,86,,Loire Valley,Val de Loire,,Roger Voss,@vossroger,Henri Bourgeois 2011 Petit Bourgeois Sauvignon Blanc (Val de Loire),Sauvignon Blanc,Henri Bourgeois
21889,France,"A richly smoky wine, with all its juiciness surrounded by dark tannins. Despite a dominance of Merlot, this is still intensely structured. The wine has so much richness as well as acidity.",,92,,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Pibran 2009  Pauillac,Bordeaux-style Red Blend,Château Pibran
11456,France,"This wine has a bright, crisp character that is reminiscent of Chablis. It has refreshing lemon and apple flavors, and it's ready to drink.",Château de Mercey,87,23.0,Burgundy,Bourgogne Hautes Côtes de Beaune,,Roger Voss,@vossroger,Antonin Rodet 2010 Château de Mercey  (Bourgogne Hautes Côtes de Beaune),Chardonnay,Antonin Rodet
93715,France,"Made by the winemaking team at Cos d'Estournel, this is a very soft, generous wine that burst with fruit in the mouth. The structure is easy, gently tannic but not more. The pleasure is from the sweet fruit.",,87,,Bordeaux,Médoc,,Roger Voss,@vossroger,Goulée 2006  Médoc,Bordeaux-style Red Blend,Goulée
12982,France,"A blend of Cabernet and Merlot, this has red fruit notes, a light structure and plenty of final acidity. It finishes with caramel as well as freshness.",Colombelle L'Originel,84,8.0,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Producteurs Plaimont 2013 Colombelle L'Originel Rosé (Côtes de Gascogne),Rosé,Producteurs Plaimont
98118,France,"Generous notes of ripe, juicy pear lead on nose and palate of this wine. An earthy, slightly bitter edge lends definition and texture but undereath it all lies the purity of fresh-cut Conference pear and lemon. This wine is bone-dry and lip-smackingly refreshing.",Barriques,91,37.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Ostertag 2014 Barriques Pinot Gris (Alsace),Pinot Gris,Domaine Ostertag
61591,France,"While the texture is rich and full-bodied, there is an edge of sharp acidity that takes away from the generous ripeness. Tannins and juicy red fruits are present, but the acidity is a little jarring.",Clos du Chapitre Premier Cru,85,68.0,Burgundy,Fixin,,Roger Voss,@vossroger,Domaine Guy & Yvan Dufouleur 2009 Clos du Chapitre Premier Cru  (Fixin),Pinot Noir,Domaine Guy & Yvan Dufouleur
51367,France,"Oak aging and no filtration give this beautiful wine richness and dense texture. A touch of spicy toast contrasts with the melon and grapefruit flavors, smoothly ripe texture and nutmeg aftertaste. The wine is concentrated and full in the mouth. This opulent wine is still young, so wait until late 2017 to drink.",Sancerre d'Antan Terroir de Silex,94,60.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Henri Bourgeois 2014 Sancerre d'Antan Terroir de Silex  (Sancerre),Sauvignon Blanc,Henri Bourgeois
